STATUS,sEXT,sNEU,sAGR,sCON,sOPN
like sound thunder,2.65,3.0,3.15,3.25,4.4
sleepi even funni that cant get sleep,2.65,3.0,3.15,3.25,4.4
sore want knot muscl base neck stop hurt hand yay im illinoi 3,2.65,3.0,3.15,3.25,4.4
like day sound new song,2.65,3.0,3.15,3.25,4.4
home 3,2.65,3.0,3.15,3.25,4.4
wwwthejokerblogscom,2.65,3.0,3.15,3.25,4.4
saw nun zombi like also propnam tentacleman psychic power great parti,2.65,3.0,3.15,3.25,4.4
kentucki 421 mile 1100 mile journey home,2.65,3.0,3.15,3.25,4.4
finish digit paint tablet went haywir contempl mani way wish exact reveng faulti technolog,2.65,3.0,3.15,3.25,4.4
celebr new haircut listen swinger music gener look like doofu,2.65,3.0,3.15,3.25,4.4
crush green lantern,2.65,3.0,3.15,3.25,4.4
magic brain,2.65,3.0,3.15,3.25,4.4
saw transform year one week good movi overload,2.65,3.0,3.15,3.25,4.4
want meet schedul pickup day oviedo,2.65,3.0,3.15,3.25,4.4
desir thrill inspir also money,2.65,3.0,3.15,3.25,4.4
go bed 930 yeah,2.65,3.0,3.15,3.25,4.4
read admir permit occasion glanc ner mcdonald uniform,2.65,3.0,3.15,3.25,4.4
think intang option realiti set,2.65,3.0,3.15,3.25,4.4
tire propnam let go sleep pl0x,2.65,3.0,3.15,3.25,4.4
discov mani flavor insomnia,2.65,3.0,3.15,3.25,4.4
watch cousin play comput game televison box thing also sleepi,2.65,3.0,3.15,3.25,4.4
im get urg draw stuff school,2.65,3.0,3.15,3.25,4.4
whoda thought singl text messag could enough chang mind,2.65,3.0,3.15,3.25,4.4
wish develop super power prevent need sleep,2.65,3.0,3.15,3.25,4.4
tell draw plox,2.65,3.0,3.15,3.25,4.4
found bunni bunni die buri bunni draw,2.65,3.0,3.15,3.25,4.4
3,2.65,3.0,3.15,3.25,4.4
insan,2.65,3.0,3.15,3.25,4.4
want sleep eight hour tonight shall,2.65,3.0,3.15,3.25,4.4
realli hate hormon emot right well hate lot recent good,2.65,3.0,3.15,3.25,4.4
watch match glass wish hadnt spazz glee saw store,2.65,3.0,3.15,3.25,4.4
love 9 allegori symbol talk ragdol satir explos ye,2.65,3.0,3.15,3.25,4.4
cant sit futon know soon shell lie pass uncomfort rolli desk chair,2.65,3.0,3.15,3.25,4.4
spend less time write chapter stori shell never finish tri read book prefer daytim 300,2.65,3.0,3.15,3.25,4.4
watch kid cartoon wish werent old,2.65,3.0,3.15,3.25,4.4
work tomorrow hope teach use cash regist,2.65,3.0,3.15,3.25,4.4
grate work wait ride home afternoon open hous sleeeep beckon,2.65,3.0,3.15,3.25,4.4
realli confus intern dilemma also wonder anyon guess,2.65,3.0,3.15,3.25,4.4
think need stop leav mani pictur halfdon get new idea,2.65,3.0,3.15,3.25,4.4
grown weari draw paranoid soldierhousewif jynx charact comic form must thusli go sleep replenish desir work tirelessli mere audit,2.65,3.0,3.15,3.25,4.4
see 9 tonight mayb,2.65,3.0,3.15,3.25,4.4
go work comic crash futon love unconsci deserv,2.65,3.0,3.15,3.25,4.4
weekend love,2.65,3.0,3.15,3.25,4.4
listen relient k think plant lawyer internship,2.65,3.0,3.15,3.25,4.4
draw instead homework fun good,2.65,3.0,3.15,3.25,4.4
sleep like champion tonight,2.65,3.0,3.15,3.25,4.4
dish webcom lazi intern lack disrupt alright,2.65,3.0,3.15,3.25,4.4
wish werent ticklish sometim right though one time,2.65,3.0,3.15,3.25,4.4
magic ceil,2.65,3.0,3.15,3.25,4.4
went bed earli slept still feel like hasntgotten proper night sleep,2.65,3.0,3.15,3.25,4.4
got taught use regist 3 enjoy 500 day summer look forward go beach monday,2.65,3.0,3.15,3.25,4.4
hate fml principl,2.65,3.0,3.15,3.25,4.4
realiz tradit media hate shun penvcil favor tablet thatll learn em,2.65,3.0,3.15,3.25,4.4
prepar weekend homeowrk morn due realiz left necessari binder school fffffffffffff,2.65,3.0,3.15,3.25,4.4
earli work blargedyargdeyblah minimuuum waaaag looov youuu,2.65,3.0,3.15,3.25,4.4
far away ship taken far away goshdarnit muse stop awesom,2.65,3.0,3.15,3.25,4.4
littl excit see talent show,2.65,3.0,3.15,3.25,4.4
tire would sleep there cat desk requir supervis,2.65,3.0,3.15,3.25,4.4
dont hate well found congratul worth thing youv manag break far heart isnt brave murder ever dont care pleas proceed andorid hell,2.65,3.0,3.15,3.25,4.4
need stupid fluffi book read inbetween experi normalci,2.65,3.0,3.15,3.25,4.4
late ride dad airport pick mamacita 1120 pm land illinoi,2.65,3.0,3.15,3.25,4.4
complet love blackberri mom surpris ye excit cap complet necessari 3 3 3 3 33,2.65,3.0,3.15,3.25,4.4
look forward earli januari birthday per se potenti meet good friend,2.65,3.0,3.15,3.25,4.4
