STATUS,sEXT,sNEU,sAGR,sCON,sOPN,SENTIMENT
like sound thunder,2.65,3.0,3.15,3.25,4.4,0.3612
sleepi even funni that cant get sleep,2.65,3.0,3.15,3.25,4.4,0.0
sore want knot muscl base neck stop hurt hand yay im illinoi 3,2.65,3.0,3.15,3.25,4.4,-0.0516
like day sound new song,2.65,3.0,3.15,3.25,4.4,0.3612
home 3,2.65,3.0,3.15,3.25,4.4,0.0
wwwthejokerblogscom,2.65,3.0,3.15,3.25,4.4,0.0
saw nun zombi like also propnam tentacleman psychic power great parti,2.65,3.0,3.15,3.25,4.4,0.765
kentucki 421 mile 1100 mile journey home,2.65,3.0,3.15,3.25,4.4,0.0
finish digit paint tablet went haywir contempl mani way wish exact reveng faulti technolog,2.65,3.0,3.15,3.25,4.4,0.4019
celebr new haircut listen swinger music gener look like doofu,2.65,3.0,3.15,3.25,4.4,0.3612
crush green lantern,2.65,3.0,3.15,3.25,4.4,-0.1531
magic brain,2.65,3.0,3.15,3.25,4.4,0.0
saw transform year one week good movi overload,2.65,3.0,3.15,3.25,4.4,0.1027
want meet schedul pickup day oviedo,2.65,3.0,3.15,3.25,4.4,0.0772
desir thrill inspir also money,2.65,3.0,3.15,3.25,4.4,0.3612
go bed 930 yeah,2.65,3.0,3.15,3.25,4.4,0.296
read admir permit occasion glanc ner mcdonald uniform,2.65,3.0,3.15,3.25,4.4,0.0
think intang option realiti set,2.65,3.0,3.15,3.25,4.4,0.0
tire propnam let go sleep pl0x,2.65,3.0,3.15,3.25,4.4,0.0
discov mani flavor insomnia,2.65,3.0,3.15,3.25,4.4,0.0
watch cousin play comput game televison box thing also sleepi,2.65,3.0,3.15,3.25,4.4,0.34
im get urg draw stuff school,2.65,3.0,3.15,3.25,4.4,0.0
whoda thought singl text messag could enough chang mind,2.65,3.0,3.15,3.25,4.4,0.0
wish develop super power prevent need sleep,2.65,3.0,3.15,3.25,4.4,0.7717
tell draw plox,2.65,3.0,3.15,3.25,4.4,0.0
found bunni bunni die buri bunni draw,2.65,3.0,3.15,3.25,4.4,-0.5994
3,2.65,3.0,3.15,3.25,4.4,0.0
insan,2.65,3.0,3.15,3.25,4.4,0.0
want sleep eight hour tonight shall,2.65,3.0,3.15,3.25,4.4,0.0772
realli hate hormon emot right well hate lot recent good,2.65,3.0,3.15,3.25,4.4,-0.5267
watch match glass wish hadnt spazz glee saw store,2.65,3.0,3.15,3.25,4.4,-0.17
love 9 allegori symbol talk ragdol satir explos ye,2.65,3.0,3.15,3.25,4.4,0.6369
cant sit futon know soon shell lie pass uncomfort rolli desk chair,2.65,3.0,3.15,3.25,4.4,0.0
spend less time write chapter stori shell never finish tri read book prefer daytim 300,2.65,3.0,3.15,3.25,4.4,0.0
watch kid cartoon wish werent old,2.65,3.0,3.15,3.25,4.4,0.4019
work tomorrow hope teach use cash regist,2.65,3.0,3.15,3.25,4.4,0.4404
grate work wait ride home afternoon open hous sleeeep beckon,2.65,3.0,3.15,3.25,4.4,0.0
realli confus intern dilemma also wonder anyon guess,2.65,3.0,3.15,3.25,4.4,-0.1779
think need stop leav mani pictur halfdon get new idea,2.65,3.0,3.15,3.25,4.4,-0.296
grown weari draw paranoid soldierhousewif jynx charact comic form must thusli go sleep replenish desir work tirelessli mere audit,2.65,3.0,3.15,3.25,4.4,-0.25
see 9 tonight mayb,2.65,3.0,3.15,3.25,4.4,0.0
go work comic crash futon love unconsci deserv,2.65,3.0,3.15,3.25,4.4,0.3612
weekend love,2.65,3.0,3.15,3.25,4.4,0.6369
listen relient k think plant lawyer internship,2.65,3.0,3.15,3.25,4.4,0.0
draw instead homework fun good,2.65,3.0,3.15,3.25,4.4,0.7351
sleep like champion tonight,2.65,3.0,3.15,3.25,4.4,0.7506
dish webcom lazi intern lack disrupt alright,2.65,3.0,3.15,3.25,4.4,-0.0772
wish werent ticklish sometim right though one time,2.65,3.0,3.15,3.25,4.4,0.4019
magic ceil,2.65,3.0,3.15,3.25,4.4,0.0
went bed earli slept still feel like hasntgotten proper night sleep,2.65,3.0,3.15,3.25,4.4,0.3612
got taught use regist 3 enjoy 500 day summer look forward go beach monday,2.65,3.0,3.15,3.25,4.4,0.4939
hate fml principl,2.65,3.0,3.15,3.25,4.4,-0.5719
realiz tradit media hate shun penvcil favor tablet thatll learn em,2.65,3.0,3.15,3.25,4.4,-0.25
prepar weekend homeowrk morn due realiz left necessari binder school fffffffffffff,2.65,3.0,3.15,3.25,4.4,0.0
earli work blargedyargdeyblah minimuuum waaaag looov youuu,2.65,3.0,3.15,3.25,4.4,0.0
far away ship taken far away goshdarnit muse stop awesom,2.65,3.0,3.15,3.25,4.4,-0.296
littl excit see talent show,2.65,3.0,3.15,3.25,4.4,0.4215
tire would sleep there cat desk requir supervis,2.65,3.0,3.15,3.25,4.4,0.0
dont hate well found congratul worth thing youv manag break far heart isnt brave murder ever dont care pleas proceed andorid hell,2.65,3.0,3.15,3.25,4.4,-0.4909
need stupid fluffi book read inbetween experi normalci,2.65,3.0,3.15,3.25,4.4,-0.5267
late ride dad airport pick mamacita 1120 pm land illinoi,2.65,3.0,3.15,3.25,4.4,0.0
complet love blackberri mom surpris ye excit cap complet necessari 3 3 3 3 33,2.65,3.0,3.15,3.25,4.4,0.6369
look forward earli januari birthday per se potenti meet good friend,2.65,3.0,3.15,3.25,4.4,0.7269
need stop listen normal playlist want stop wake feel like she miss someth big,2.65,3.0,3.15,3.25,4.4,-0.296
